
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
20-0073                          D21                             1835   1      4   4   1 R           3 0 UB0D0_R2            (4028-4-13)
20-0073                          D22                             1375   1      1   1   1 1           4 0 UB0_MUL1            (4059-2-13)
20-0073                          D22                             1375   1      2   2   1 B           1 0 UB0D0_B5            (4028-37-13)
20-0073                          D22                             1375   1      3   3   1 G           2 0 UB0D0_G5            (4028-21-13)
20-0073                          D22                             1375   1      4   4   1 R           3 0 UB0D0_R5            (4028-5-13)
20-0073                          D23                             1495   1      1   1   1 1           4 0 UB0_MUL1            (4059-2-13)
20-0073                          D23                             1495   1      2   2   1 B           1 0 UB0D0_B8            (4028-42-13)
20-0073                          D23                             1495   1      3   3   1 G           2 0 UB0D0_G8            (4028-26-13)
20-0073                          D23                             1495   1      4   4   1 R           3 0 UB0D0_R8            (4028-10-13)
20-0073                          D24                             1335   1      1   1   1 1           4 0 UB0_MUL1            (4059-2-13)
20-0073                          D24                             1335   1      2   2   1 B           1 0 UB0D0_B6            (4028-40-13)
20-0073                          D24                             1335   1      3   3   1 G           2 0 UB0D0_G6            (4028-24-13)
20-0073                          D24                             1335   1      4   4   1 R           3 0 UB0D0_R6            (4028-8-13)
20-0073                          D25                             1435   1      1   1   1 1           4 0 UB0_MUL1            (4059-2-13)
20-0073                          D25                             1435   1      2   2   1 B           1 0 UB0D0_B9            (4028-41-13)
20-0073                          D25                             1435   1      3   3   1 G           2 0 UB0D0_G9            (4028-25-13)
20-0073                          D25                             1435   1      4   4   1 R           3 0 UB0D0_R9            (4028-9-13)
20-0073                          D26                             1395   1      1   1   1 1           4 0 UB0_MUL1            (4059-2-13)
20-0073                          D26                             1395   1      2   2   1 B           1 0 UB0D0_B7            (4028-39-13)
20-0073                          D26                             1395   1      3   3   1 G           2 0 UB0D0_G7            (4028-23-13)
20-0073                          D26                             1395   1      4   4   1 R           3 0 UB0D0_R7            (4028-7-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
20-0073                          D27                             1715   1      1   1   1 1           4 0 UB0_MUL1            (4059-2-13)
20-0073                          D27                             1715   1      2   2   1 B           1 0 UB0D0_B10           (4028-44-13)
20-0073                          D27                             1715   1      3   3   1 G           2 0 UB0D0_G10           (4028-28-13)
20-0073                          D27                             1715   1      4   4   1 R           3 0 UB0D0_R10           (4028-12-13)
20-0073                          D28                             1875   1      1   1   1 1           4 0 UB0_MUL1            (4059-2-13)
20-0073                          D28                             1875   1      2   2   1 B           1 0 UB0D0_B11           (4028-43-13)
20-0073                          D28                             1875   1      3   3   1 G           2 0 UB0D0_G11           (4028-27-13)
20-0073                          D28                             1875   1      4   4   1 R           3 0 UB0D0_R11           (4028-11-13)
20-0073                          D29                             1915   1      1   1   1 1           4 0 UB0_MUL1            (4059-2-13)
20-0073                          D29                             1915   1      2   2   1 B           1 0 UB0D0_B14           (4028-48-13)
20-0073                          D29                             1915   1      3   3   1 G           2 0 UB0D0_G14           (4028-32-13)
20-0073                          D29                             1915   1      4   4   1 R           3 0 UB0D0_R14           (4028-16-13)
20-0073                          D30                             1555   1      1   1   1 1           4 0 UB0_MUL1            (4059-2-13)
20-0073                          D30                             1555   1      2   2   1 B           1 0 UB0D0_B12           (4028-46-13)
20-0073                          D30                             1555   1      3   3   1 G           2 0 UB0D0_G12           (4028-30-13)
20-0073                          D30                             1555   1      4   4   1 R           3 0 UB0D0_R12           (4028-14-13)
20-0073                          D31                             1675   1      1   1   1 1           4 0 UB0_MUL1            (4059-2-13)
